id|name|url|photo_url|status|company|also_worked|education|web|perfumes_count|biography
p24|Alberto Morillas|https://www.fragrantica.com/noses/Alberto_Morillas.html|https://fimgs.net/images/nosevi/o.26.jpg|Master Perfumer|dsm-firmenich|||https://www.dsm-firmenich.com/|544|"<p>Alberto Morillas is a renowned Spanish perfumer who has created some of the world's most iconic fragrances. He was born in Seville, Spain in 1950, but moved to Switzerland at the age of ten. Morillas studied for two years at the Ecole des Beaux Arts in Geneva and began working in perfumery at the age of 20, after being inspired by a Vogue article about French perfumer Jean-Paul Guerlain.</p> <p>In 1970, Morillas joined Swiss fragrance and flavor firm Firmenich, where he established himself with the creation of Must de Cartier in 1975, the first fragrance of the Cartier jewelry company. Since then, Morillas has been involved or touched the creation of nearly 7000 perfumes for the company, including the iconic Calvin Klein CK One, Giorgio Armani Acqua di Giò for women, Kenzo Flower, Bvlgari Omnia, Cartier Panthere de Cartier, and Marc Jacobs Daisy.</p> <p>Morillas is also the founder of his independent line called Mizensir, which began with scented candles and has since expanded to include 17 perfumes. In collaboration with Penhaligon's, Morillas also has a custom perfumery service called Bespoke by Alberto Morillas, based in the Salon de Parfum in the department store Harrods in London.</p> <p>Throughout his career, Morillas has won numerous awards for his creations, including the prestigious Prix François Coty in 2003. He currently resides in Geneva, Switzerland, after periods of living in Paris and New York.</p> <p>Morillas has a passion for the Mediterranean Sea and is particularly attached to the scent of citruses, sea notes, and flowers such as jasmine, tuberose, neroli, and orange blossom. He is also inspired by gardens, spending a lot of time in his family garden in Geneva. Morillas believes that the future of the fragrance industry is positive, as more and more people are becoming experts in fragrances and brands are offering different storytelling around creation.</p> <p>“Perfumery is the mirror of society. I am the artist who interprets these emotions,""he says.</p> <p>Morillas has stated that creating a fragrance is an art, a very personal and creative exercise. He often works on over twenty different fragrances at any given time and has described the importance of training one's nose and building up a ""scent bank"" to enhance appreciation of fragrance. Morillas is particularly fond of the rose note, but also enjoys exploring different musks and the scent of orange blossom during springtime in his hometown of Seville.</p>"
p2|Dominique Ropion|https://www.fragrantica.com/noses/Dominique_Ropion.html|https://fimgs.net/images/nosevi/o.1.jpg|Master Perfumer|IFF||Roure Bertrand Dupont (Givaudan Perfumery School)|http://www.iff.com/|446|<p>Dominique Ropion is a French master perfumer, born in Paris in 1955. He attended the Roure Bertrand Dupont perfumery school in Grasse to pursue his passion for perfumery. After completing his education, he started his career at the legendary Roure Bertrand laboratories, where he met his friend and collaborator, Frédéric Malle.</p> <p>Over the years, Dominique Ropion has worked with several fragrance brands, including Christian Dior, Thierry Mugler, Lancôme, Givenchy, Issey Miyake, Yves Saint Laurent, Paco Rabanne, and The Body Shop. He joined International Flavors &amp; Fragrances Inc. in 2000, where he continues to create groundbreaking fragrances.</p> <p>Ropion's creations are known for their exact olfactory balance and flawless composition. He is a daring perfectionist who takes risks to create masterpieces that stand out in the industry. His perfumes are like great architectural feats, balancing excessive doses of powerful ingredients with meticulously measured, subtler accords, until the composition holds up on its own.</p> <p>Dominique Ropion has received several awards and recognitions for his contribution to the fragrance industry. He received the Chevalier de l’Ordre des Arts et des Lettres in 2012 and the Cosmetic Valley's International Fragrance Prize or Prix François Coty in 2008. In 2010, he was honored with the Cosmetique Magazine Oscar, and in 2018, he was named a Master Perfumer.</p> <p>Some of Ropion's popular creations include Givenchy Ysatis, Givenchy Amarige, Kenzo Jungle Elephant, Calvin Klein Euphoria, Thierry Mugler Alien, Viktor &amp; Rolf Flowerbomb, and Lancôme La Vie Est Belle. However, his most famous creation is arguably Portrait of a Lady for Frédéric Malle, which he developed with his friend and collaborator, Frédéric Malle. This fragrance is considered a masterpiece in the fragrance industry and has received critical acclaim.</p> <p>Dominique Ropion's contributions to the fragrance industry have been invaluable, and he continues to create groundbreaking fragrances that touch the senses and evoke emotions. His passion for perfumery and his dedication to excellence have earned him a reputation as one of the most celebrated perfumers in the world.</p>
p39|Olivier Cresp|https://www.fragrantica.com/noses/Olivier_Cresp.html|https://fimgs.net/images/nosevi/o.35.jpg|Master Perfumer|dsm-firmenich, Akro|||https://www.dsm-firmenich.com/|435|"<p>Olivier Cresp is a legendary French perfumer widely regarded as one of the industry's most influential and respected figures. Born in the town of Grasse, known as the cradle of French perfumery, Cresp was raised in a family with a rich heritage in fragrance. His great-grandfather cultivated roses and jasmine, while his grandfather traded natural ingredients.</p> <p>As a child, Cresp spent countless hours in fields of flowers with his father, inhaling their fresh blooms and developing an olfactive memory of exquisite scents. This experience instilled in him an extraordinary artistic sensibility and an appreciation for the magic of perfume.</p> <p>Cresp began his career with Firmenich in 1992 and quickly established himself as a talented and innovative perfumer. He has created hundreds of fragrances throughout his career, including some of the world's most iconic and beloved scents. His notable creations include Midnight Poison, Estée Lauder Modern Muse, Penhaligon’s Peoneve, Thierry Mugler Angel, and Paco Rabanne XS.</p> <p>Cresp has been honored with numerous awards for his contributions to the industry, including the title of Master Perfumer in 2006 and Perfumer of the Year in 2007. In 2012, he was also honored with the Chevalier des Arts et des Lettres title.</p> <p>“I’m always searching for a powerful and unique concept that will turn heads,"" Cresp says.</p> <p>In 2018, Creps founded his family brand Akro.</p> <p>Known for his exceptional skill and creativity, Cresp brings an incomparable breadth of references to his profession. He is a mentor to new talent and actively promotes the art, craft, and passion of perfumery. Cresp is a food lover and devotee of all things refined, and his perfumes are carefully created, delicately crafted, and timeless. He seeks powerful and unique concepts that will turn heads and leave a lasting impression, and his work has earned him a well-deserved reputation as a true legend in the world of fragrance.</p>"
p383|Verônica Kato|https://www.fragrantica.com/noses/Ver%C3%B4nica_Kato.html|https://fimgs.net/images/nosevi/o.2357.jpg|Perfumer|Natura|||https://www.naturabrasil.fr/en-us/|394|"<p><strong>Verônica Casanova: The Pioneering Brazilian Perfumer</strong></p> <p>Born in Bastos, a small town in the state of São Paulo, Brazil, Verônica Casanova grew up surrounded by the rich and diverse scents of her homeland. After obtaining her degree in Pharmaceutical Biochemistry from Unesp (São Paulo State University), Verônica embarked on her journey to become a perfumer.</p> <p>In 1990, Verônica began her career at Dragoco, now known as Symrise. She was later sent to the company's perfumery school in Holzminden, Germany, followed by further specialization in Hadley, England, and Grasse, France. In these locations, she mastered the art of fine perfumery, learning how to create scents for everything from laundry detergent to high-end fragrances.</p> <p>Since 2006, Verônica has been working with Natura, a leading Brazilian cosmetics and perfume company. As the only Latin American perfumer working within such a company, she holds a unique position similar to those in luxury brands like Louis Vuitton and Chanel. Verônica has lost count of the number of fragrances she has created, but some notable scents include those from the Faces, Una, Amó, Kaiak, Ekos, Humor, Biografia, VôVó, and Sou lines.</p> <p>Verônica's approach to perfume creation involves capturing the essence of the Brazilian people and culture in her fragrances. She expresses the colors, exuberance, and joy of Brazil through her work, which requires meticulous research to source raw materials and blend ingredients that evoke emotions.</p> <p>Working with an extensive palette of over 2,500 ingredients, Verônica collaborates with international perfumers to create fragrances that convey various sensations such as comfort, seduction, well-being, relaxation, or sensory stimulation. The process of developing a perfume can take up to three years and involve up to 20 people, ensuring that each scent carries Natura's distinctive signature.</p> <p>Some of the most popular fragrances created by Verônica Casanova include:</p> <ul><li><a href=""https://www.fragrantica.com/perfume/Natura/Essencial-Oud-52563.html"">Natura Essencial Oud</a>: A luxurious, exotic fragrance blending oriental and woody notes.</li> <li><a href=""https://www.fragrantica.com/perfume/Natura/Ilia-Secreto-48977.html"">Natura Ilía Secreto</a>: A captivating and mysterious scent that combines floral and fruity elements.</li> <li><a href=""https://www.fragrantica.com/perfume/Natura/Humor-1-26117.html"">Natura Humor 1</a>: A playful and uplifting fragrance that encapsulates the spirit of joy and celebration.</li></ul> <p>Her unique approach to perfume creation, rooted in the essence of Brazilian culture, has resulted in a range of unforgettable scents.</p> <p> </p>"
p93|Bertrand Duchaufour|https://www.fragrantica.com/noses/Bertrand_Duchaufour.html|https://fimgs.net/images/nosevi/o.78.jpg|Perfumer|TechnicoFlor|Lautier Florasynth, Créations Aromatiques (Symrise), L'Artisan Parfumeur||http://www.technicoflor.fr/|392|<p>Bertrand Duchaufour is a French perfumer known for his work with both mainstream and niche perfume brands. He began his career in 1985 at the Lautier Florasynth group in Grasse before working for several years at Créations Aromatiques and Symrise, where he honed his skills as a fine fragrance perfumer.</p> <p>Duchaufour's first signed fragrance, Amber &amp; Lavender for Jo Malone, was launched in 1995. He went on to create fragrances for a variety of perfume houses, including Penhaligon's, Acqua di Parma, Comme des Garcons, Givenchy, and Christian Dior.</p> <p>In 2008, Duchaufour became an independent perfumer, taking on work directly and as the house perfumer for L'Artisan Parfumeur. During his 10-year tenure with L'Artisan, he created numerous successful fragrances, including Timbuktu, Dzongkha, Nuit de Tubereuse, and Fleur de Liane. He also created fragrances for other niche perfume brands, such as Aedes De Venustas and MDCI Parfums.</p> <p>After leaving L'Artisan Parfumeur, Duchaufour continued to work with niche perfume brands, including The Vagabond Prince, for whom he created Enchanted Forest and Land of Warriors. He also created fragrances for Neela Vermeire Creations, Naomi Goodsir Parfums, and many others.</p> <p>Duchaufour is known for his innovative use of ingredients, particularly incense, and his ability to create complex, multi-layered fragrances that are both modern and timeless. His fragrances have received substantial critical praise and have helped to shape the modern niche perfume industry.</p>
p85|Christian Provenzano|https://www.fragrantica.com/noses/Christian_Provenzano.html|https://fimgs.net/images/nosevi/o.71.jpg|Global Director of Perfumery at CPL Aromas, Perfumer|CPL Aromas|Mashmeijer Aromatics, FDO UK, Zimmerman Hobbs||https://www.cplaromas.com/|372|"<p>Christian Provenzano is a Master Perfumer and Global Director of Perfumery at CPL Aromas, with over 50 years of experience in the fragrance industry. He has an undisputed reputation for creating successful and original compositions, and has developed an instinct for knowing what customers look for while adding his unique style.</p> <p>""In order to be irreplaceable one must always be different,"" Christian once said. This motto shines through in the unique fragrances he creates, and he is recognized as an authority on Oriental and Arabic fragrances, with major successes in this sector.</p> <p>Christian embarked on his career in perfumery with the Dutch firm Maschmeijer and later Naarden, where he trained in the laboratory. After a spell at Zimmerman Hobbs, he moved to take a position at Fritsche Dodge &amp; Olcott, where he established his reputation as an international perfumer.</p> <p>CPL Aromas recruited Christian in 1989 to join as Senior Perfumer, later to become Global Director of Perfumery. He leads and inspires the growing team of CPL Aromas' perfumers worldwide, from his base at CPL Dubai's creative center.</p> <p>""As someone who adores his work and loves the challenge of creating innovative fragrances with his unique brand of passion and enthusiasm,"" those who know Christian remark on his exceptional talent. He has created winning fragrances for Agent Provocateur, Kilian, Jasper Conran, and many others.</p> <p>Christian's expertise lies in the development of fine fragrance, and he has created many highly distinctive fragrances for some of the most famous brands in the world. He is surrounded by Middle Eastern culture, and with his dexterity, has grown to be recognized as an authority on Amber and Arabic fragrances.</p> <p>In 2021, Christian was appointed as CPL's first Master Perfumer, symbolizing the mastery of his craft, the many iconic fragrances he has imagined for CPL's customers throughout his career, and his love of teaching this exquisite art form, both within the company and in the industry.</p> <p>Christian also has his own brand, Christian Provenzano Parfums, and he continues to inspire and influence the fragrance industry with his passion and dedication to the art of perfumery.</p>"
p25|Nathalie Lorson|https://www.fragrantica.com/noses/Nathalie_Lorson.html|https://fimgs.net/images/nosevi/o.23.jpg|Master Perfumer|dsm-firmenich|Roure Bertrand Dupont, IFF|Roure Bertrand Dupont (Givaudan Perfumery School)|https://www.dsm-firmenich.com/|354|<p>Nathalie Lorson is a Master Perfumer who has made a significant contribution to the world of fragrances. Born in Grasse, France, the home of perfumery, Nathalie's love for fragrances began at a young age when she used to accompany her father to work at the fragrance house Roure. Despite being one of the few women in the industry at the time, Nathalie pursued her passion and attended the prestigious Roure Bertrand Dupont perfumery school.</p> <p>With a couple of hundred perfumes to her name, Nathalie's fragrances are known for their harmonious and generous olfactive style. Her choice of raw materials is characteristically smooth, round, and sensual, and her creations include Lalique Amethyst, Flora by Gucci, Le Labo Poivre 23, Bentley for Men, and Dita Von Teese's signature scent. Nathalie is one of the four perfumers at Firmenich who worked on the new YSL Black Opium, one of her most popular works.</p> <p>Nathalie's passion for research and her travels around the world inspire her creativity. She has a unique talent for discovering new olfactive territories and creating innovative and unique fragrances. Her dedication to her craft is evident in her work, and her love for perfumery is fueled by the desire to touch people's emotions.</p> <p>Nathalie's humility is remarkable, and she sees her work as an act of generosity. To her, creativity is a shared experience that involves the exchange of ideas and emotions. She aims to create simple yet resonant fragrances, selecting each ingredient for its quality and perfect dosage, to maximize the beauty of the final creation. Nathalie's dynamism is admirable, allowing her to juggle many projects at once and create masterful compositions.</p> <p>In summary, Nathalie Lorson is a true master of perfumery, with an exceptional talent for creating unique and memorable fragrances. Her dedication to her craft, passion for research, and humility make her an inspiration to aspiring perfumers worldwide.</p>
p283|Jérôme Epinette|https://www.fragrantica.com/noses/J%C3%A9r%C3%B4me_Epinette.html|https://fimgs.net/images/nosevi/o.2649.jpg|Perfumer|Robertet||Grasse Institute of Perfumery||347|"<p>Jérôme Epinette is a renowned French perfumer, known for his work with several high-profile fragrance houses such as Byredo, Atelier Cologne, Frapin, and Olfactive Studio, among others. He was born and raised in Burgundy, a famous wine region of France, and developed a passion for the complexities of winemaking from an early age. However, he also had a strong interest in perfumery, which led him to pursue a career in this field.</p> <p>After earning a Master's degree in Biochemistry from Burgundy University in Dijon, France, Epinette attended the Grasse Institute of Perfumery in Grasse, where he honed his skills in the art of fragrance creation. In 2003, he joined the Paris office of Robertet, a leading fragrance and flavor company, and was part of the team that launched the New York Creative Center in 2006. He now lives and works in New York City.</p> <p>Epinette has gained recognition for his use of exceptional quality naturals, which he elegantly blends with the finest synthetics to create unique and captivating fragrances. He has designed numerous best-selling and critically acclaimed perfumes for brands ranging from mainstream giants like Victoria’s Secret and L’Occitane en Provence to niche stalwarts like Atelier Cologne and Luckyscent’s Decennial line. However, he is perhaps best known for his collaboration with Olivia Giacobetti and Ben Gorham in creating the successful Byredo line, where he personally designed most of the fragrances.</p> <p>Epinette's talents have earned him a reputation as one of the most sought-after noses in the industry, and he has been approached by several fragrance houses to create their signature scents. He recently turned his talents to the self-proclaimed ""upstart"" fragrance house of Floral Street, where he created the Electric Rhubarb fragrance in collaboration with the Chelsea Flower Show.</p> <p>Epinette's approach to fragrance creation is characterized by his attention to detail, his use of mood boards, and the importance he places on following the perfume's evolution on the skin. He has a signature style that is marked by his use of patchouli and sandalwood, which he blends in different ways to create a unique olfactory experience.</p>"
p443|Dawn Spencer Hurwitz|https://www.fragrantica.com/noses/Dawn_Spencer_Hurwitz.html|https://fimgs.net/images/nosevi/o.637.jpg|Perfumer|DSH Perfumes|Essence Oils, Parfums des Beaux Arts, Eau for Jules & Jane, Boheme and Cielo||https://www.dshperfumes.com/|305|<p>Dawn Spencer Hurwitz is a renowned perfumer, olfactory artist, and certified aromatherapist who has made a name for herself in the American indie and niche perfumery industry. With nearly three decades of experience in working with aromatics, she has established her label, DSH Perfumes, which is dedicated to the art of perfumery.</p> <p>Dawn's passion for perfume began in 1991 while working at the ESSENSE Perfumery in Boston, where she developed her skills and talent for creating fragrances based on fine art principles. Since then, she has worked with several top designers to consult and create exclusive perfumes, and developed her own line of ready-to-wear artisan perfumes under her label.</p> <p>She is a true pioneer of the American indie perfumery movement, and her work reflects a deep understanding of aesthetics, aromatherapy, and the history of fragrance design. Whether it's an all-botanical perfume or a conceptual art piece, what matters most to Dawn is what's in the bottle.</p> <p>Dawn's Art Projects collection is a concept line she has been creating in her studio, combining a synesthetic approach to perfume design and aroma-art expressions for various exhibitions and museums. She is also an experienced teacher of perfume history and fragrance design &amp; aesthetics and a mentor to emerging artists.</p> <p>Her innovative approach to perfume design and dedication to the craft has earned her a devoted following and recognition as a prolific artist and consummate niche perfumer.</p>
p608|Chris Maurice|https://www.fragrantica.com/noses/Chris_Maurice.html|https://fimgs.net/images/nosevi/o.1239.jpg|Master Perfumer|C De La Niche|||http://www.cdelaniche.com|291|<p>Chris Maurice is a Master Perfumer and one of the directors of Carbonnel S.A., a renowned Spanish company in the perfume industry. Born into one of Spain's most prestigious perfumery families, Chris has been immersed in the world of niche fragrances since childhood. Over the years, he has honed his craft and expertise in treating exquisite and exceptional essences that embody his vision of High Perfumery.</p> <p>With a wealth of experience working on numerous projects for leading brands in Europe and the Middle East, such as Xerjoff, Nishane, Fragrance Du Bois, Masque Milano, and Zoologist, Chris has established himself as a prominent figure in the perfume world. He is the founder of C De La Niche, a company dedicated to crafting exceptional fragrances that are innovative, unique, and timeless.</p> <p>Chris' creations have been widely appreciated and loved by perfume enthusiasts worldwide. Some of his most popular perfumes include Xerjoff Lira, Alexandria II, More Than Words, La Capitale, Tony Iommi Monkey Special, and Fiero. He has also worked with other brands such as Nishane, Rance 1795, Santi Burgas, and The Fragrance Kitchen, to name a few. Chris' extensive knowledge, passion, and creativity have made him one of the industry's most respected and sought-after perfumers.</p>
